,filename,width,height,class,xmin,xmax,ymin,ymax,area,mj_axis,mn_axis
0,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,48,9,1,877,925,0,9,75,12.626808678328057,8.084562266773856
1,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,70,13,1,912,982,0,13,226,30.65887055712172,11.354964316260743
2,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,58,22,1,939,997,0,22,226,26.627132182167397,11.353543524236708
3,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,53,15,1,886,939,17,32,141,16.00304718303215,11.63074990875532
4,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,81,53,1,917,998,54,107,1200,54.19701921269556,29.357495685142393
5,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,62,34,1,856,918,101,135,413,28.53935036306481,19.79945837165386
6,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,52,19,1,888,940,127,146,118,13.33345046682098,11.911343987895908
7,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,77,40,1,906,983,148,188,916,44.27489178781147,26.948091628608164
8,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,47,19,1,848,895,155,174,118,13.294496451916368,11.911087385271678
9,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,50,29,1,804,854,190,219,329,26.519458283190474,17.06563721504965
10,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,82,64,1,858,940,192,256,1444,57.22150561975359,38.02600104727055
11,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,79,61,1,903,982,361,422,1152,47.99267246893328,31.825489742850085
12,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,67,44,1,948,1015,386,430,518,29.09801023910814,23.785252417352865
13,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,84,69,1,735,819,414,483,1660,55.66923582906444,42.21764165411986
14,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,57,41,1,710,767,451,492,451,28.566163469078063,20.908797643533998
15,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,41,40,1,673,714,606,646,202,17.033499760104316,15.62288612124361
16,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,45,60,1,706,751,613,673,510,41.04884130843044,16.571156825600298
17,/media/marda/TWOTB1/xBD/hurricanes/images/florence/hurricane-florence_00000318_pre_disaster.png,90,60,1,954,1044,671,731,1121,55.523848771053395,27.356621790356474
